filename,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal
124.wav,-0.1567,-0.0672,0.1278,3.5972,-0.0145,1.765
125.wav,-0.0277,-0.0119,0.2793,3.3498,0.1258,1.669
126.wav,-0.0013,-0.0005,0.2423,3.3493,0.1205,1.6744
127.wav,-0.0142,-0.0061,0.9633,3.7997,0.4745,1.8968
128.wav,-0.0475,-0.0204,-0.5538,3.4107,-0.3007,1.6952
129.wav,-0.0853,-0.0365,1.0101,3.8874,0.4624,1.9254
130.wav,-0.0329,-0.0141,1.5347,4.2015,0.7509,2.0937
131.wav,-0.1051,-0.045,0.4918,3.5028,0.1934,1.7289
132.wav,-0.0033,-0.0014,0.3692,3.4212,0.183,1.7099
133.wav,-0.1183,-0.0507,-0.9229,3.5087,-0.5206,1.729
134.wav,-0.0734,-0.0315,0.1524,3.2887,0.0395,1.6286
135.wav,-0.1299,-0.0557,0.8298,3.9214,0.35,1.9329
136.wav,-0.0848,-0.0364,0.1435,3.2639,0.0294,1.6138
137.wav,-0.3845,-0.1648,0.335,3.5665,-0.0248,1.7008
138.wav,-0.0667,-0.0286,1.3238,4.0452,0.6285,2.0083
139.wav,-0.1213,-0.052,1.5885,4.1965,0.7336,2.0723
140.wav,-0.0067,-0.0029,1.8022,4.364,0.8977,2.1806
141.wav,-0.077,-0.033,1.1549,3.9496,0.539,1.9583
142.wav,-0.1262,-0.0541,0.6049,3.8815,0.2393,1.9137
143.wav,-0.1646,-0.0705,0.2858,3.3627,0.0606,1.6461
144.wav,-0.0683,-0.0293,0.2124,3.3594,0.0721,1.665
145.wav,-0.2876,-0.1233,0.2083,3.3411,-0.0397,1.6089
146.wav,-0.0584,-0.025,0.2388,3.354,0.0902,1.6645
147.wav,-0.0201,-0.0086,0.1602,3.3367,0.07,1.664
148.wav,-0.0531,-0.0228,0.7799,3.6812,0.3634,1.8292
149.wav,-0.0158,-0.0068,0.5471,3.5215,0.2657,1.7574
150.wav,-0.007,-0.003,0.004,3.3957,-0.0015,1.6964
151.wav,-0.0566,-0.0242,0.3232,3.4172,0.1333,1.6965
152.wav,-0.1171,-0.0502,1.7758,4.343,0.8293,2.1464
153.wav,-0.228,-0.0977,1.7994,4.3635,0.7857,2.1329
154.wav,-0.0153,-0.0066,0.9838,3.8459,0.4843,1.9197
155.wav,-0.0938,-0.0402,1.086,3.8876,0.4961,1.9237
156.wav,-0.0437,-0.0187,0.824,3.7135,0.3901,1.8474
157.wav,-0.0901,-0.0386,0.2249,3.3324,0.0674,1.6469
158.wav,-0.1561,-0.0669,0.3069,3.4071,0.0754,1.6701
159.wav,-0.1435,-0.0615,-0.0119,3.3215,-0.0777,1.63
160.wav,-0.1494,-0.064,0.202,3.3077,0.0263,1.6218
161.wav,-0.0206,-0.0088,1.4536,4.1299,0.7165,2.0605
162.wav,-0.2677,-0.1147,0.9075,3.7744,0.3199,1.8298
163.wav,-0.0795,-0.0341,0.5718,3.5005,0.2462,1.7332
164.wav,-0.0243,-0.0104,0.3298,3.4486,0.1528,1.7191
165.wav,-0.089,-0.0381,1.3627,4.0696,0.6368,2.0157
166.wav,-0.3158,-0.1353,0.2286,3.3387,-0.0436,1.6017
167.wav,-0.235,-0.1007,0.476,3.5543,0.1205,1.7268
168.wav,-0.0172,-0.0074,1.1179,3.6066,0.5503,1.7996
169.wav,-0.0322,-0.0138,0.2876,3.3737,0.1277,1.6799
170.wav,-0.1305,-0.0559,0.8602,3.7557,0.3649,1.8499
171.wav,-0.1057,-0.0453,0.3495,3.4067,0.1219,1.6807
172.wav,-0.2144,-0.0919,0.7489,3.7559,0.2673,1.832
173.wav,-0.2031,-0.0871,0.3494,3.6705,0.0731,1.7917
174.wav,-0.1416,-0.0607,1.3944,4.098,0.6264,2.0187
175.wav,-0.0567,-0.0243,0.2977,3.4838,0.1205,1.7297
176.wav,-0.0165,-0.0071,1.3443,4.0575,0.6639,2.0252
177.wav,-0.1319,-0.0565,0.9951,3.8599,0.4316,1.9017
178.wav,-0.0211,-0.009,0.4115,3.4397,0.1952,1.7153
179.wav,-0.0905,-0.0388,0.3294,3.3793,0.1195,1.6703
180.wav,-0.0113,-0.0049,0.5979,3.5775,0.2933,1.7863
181.wav,-0.0017,-0.0007,1.5159,4.1925,0.7571,2.0959
182.wav,-0.1881,-0.0806,-0.329,3.4127,-0.2586,1.666
183.wav,-0.1987,-0.0852,0.5562,3.5418,0.1788,1.7283
184.wav,-0.0455,-0.0195,0.2875,3.3925,0.121,1.6865
185.wav,-0.0826,-0.0354,0.4124,3.3538,0.1649,1.6592
186.wav,-0.2378,-0.1019,0.5217,3.4213,0.1419,1.6597
187.wav,-0.1612,-0.0691,1.8421,4.3896,0.8405,2.1602
188.wav,-0.1474,-0.0632,0.0299,3.2539,-0.0588,1.5954
189.wav,-0.0441,-0.0189,0.4595,3.591,0.2077,1.7861
190.wav,-0.3855,-0.1652,1.7099,4.2931,0.6622,2.0639
